time,mrid,node,phase,voltage
1726081200,_5ad9e784-5b6c-4f2c-bc4d-1ccc31cfd96b,rg60,B,1.052590606009736
1726081200,_8dc4079e-6bbb-491d-9f4c-0c240228b647,rg60,A,1.066621991149359
1726081200,_fc4adc62-5608-467f-aab7-75893b574998,rg60,C,1.0737771151426716
1726081200,_6593c292-7c82-482f-99ab-61094ffc214a,652,A,1.039870106460346
1726081200,_c3753e40-e1c9-4900-83ff-93e50887c281,675,A,1.0413360817233062
1726081200,_0fe87976-0177-42f3-817b-b468225220b2,tap,C,1.0310946701368713
1726081200,_30c1c7d3-284e-4455-a398-6becc3bbc419,675,B,1.0324115220618517
1726081200,_c7c58261-4885-46ee-beb9-c94c6c29451f,645,B,1.021105963398403
1726081200,_59c9a186-c0a8-4f85-a524-d6ef0d27700a,692,C,1.0318322318616404
1726081200,_5c9a17db-6f03-4626-9464-41d3a5ddeb15,692,A,1.0447398292165435
1726081200,_d3a28545-dbfd-4cc4-9f3a-52e2ff130d93,692,B,1.0305262126302412
1726081200,_40ac2899-1d2a-469f-a14a-1e14ea29d172,650,A,0.9999804990423682
1726081200,_8e7f04ee-a032-4128-838e-a3442a1c3026,650,B,0.9999810476496844
1726081200,_ab18a8e1-f023-4f9e-bf02-c75bf05164df,650,C,0.999978642601372
1726081200,_3dbf1b7a-905f-41de-8ab2-e5451623e69e,house,s2,0.9406578963163703
1726081200,_628087e8-502d-444f-a014-fb11514fa82c,house,s1,0.9406578963163703
1726081200,_5ae00771-adeb-4ee2-92a3-7c991c579ce1,634,B,1.0144774984511302
1726081200,_7c6f94c1-1419-4582-ab2d-a0b11772c26b,brkr,B,0.9999725446186941
1726081200,_b393e719-0981-4498-9d96-07f1be7de009,brkr,C,0.9999681083370311
1726081200,_f11a9ad9-5b68-483b-b52f-dd4af07bb77d,brkr,A,0.9999705598514768
1726081200,_7a84c113-d427-4802-a769-b6edc48451c7,611,C,1.0303707702314036
1726081200,_3ad2ed0c-59fd-4663-a2cf-0b8e08c40061,house,s1,0.9406578963163703
1726081200,_ee47f9b3-eb23-4134-9d66-63055155dc27,house,s2,0.9406578963163703
1726081200,_98a81464-d7b6-4044-9b48-a92e179884dc,645,C,1.0571208009354225
1726081200,_d8ea43c7-2107-4975-9ddb-4279628daf18,645,B,1.021105963398403
1726081200,_7a436400-3a77-4eaf-bb04-ef7954fcbdd9,646,B,1.0180923804896005
1726081200,_0a2d1460-0def-479a-9f66-a7963a5619de,675,B,1.0324115220618517
1726081200,_a5edf08d-b163-4ff1-a145-bf8267fed689,675,C,1.0312820700370253
1726081200,_b0a947d6-9890-4c7e-a5dd-11fce0760768,675,A,1.0413360817233062
1726081200,_c5545620-2c8c-42ff-b59d-33cd7e02b8e5,sourcebus,C,0.9999999999969615
1726081200,_dda6be90-3cd1-4a27-a691-3f95aa4e4e13,sourcebus,A,1.0000000000029072
1726081200,_f3cc955e-8013-447a-848e-4c7af516cb34,sourcebus,B,0.9999999999969615
1726081200,_21e0ccb4-f0d0-43bd-bc70-06447e050e41,675,C,1.0312820700370253
1726081200,_e4712e37-525d-43f4-b880-d126a4d9c603,670,A,1.050227986952739
1726081200,_6f1c625b-7fe9-4020-9ba6-4e7293c01771,652,A,1.039870106460346
1726081200,_357b3424-9587-4839-8d63-e6818f43cecb,684,C,1.031097414410498
1726081200,_51037d29-941b-4e9f-ae86-99dd37bb2c9d,634,B,1.0144774984511302
1726081200,_5842f2db-ad93-494a-a372-c8e83e637147,634,A,1.0332322820026936
1726081200,_919d79f9-9719-492b-bf8b-46cffc7579ad,634,C,1.0389490008355877
1726081200,_3e3bdc6c-d985-4659-9cb7-82ea8212ba4f,692,C,1.0318322318616404
1726081200,_95407ba3-6edf-43ec-b6c1-e3283b916f63,house,s2,0.9406578963163703
1726081200,_e55a4c7a-c006-4596-b658-e23bc771b5cb,house,s1,0.9406578963163703
1726081200,_247f50ee-6bc5-4588-bdf1-9b480e09840e,634,C,1.0389490008355877
1726081200,_87c273f2-8e55-4169-adeb-2df020776c06,634,B,1.0144774984511302
1726081200,_9d580686-9c5d-42a6-9e0b-ef08c7d80256,634,A,1.0332322820026936
1726081200,_5500424b-9931-4f09-a22b-d24a47517920,xf1,C,1.0529676070222656
1726081200,_bd95505f-3f55-43d2-b8b2-2c97b2c86603,xf1,A,1.0505300228622938
1726081200,_f3001cb9-4c00-45ab-a73f-537be73f583c,xf1,B,1.028548976318664
1726081200,_aeb839c8-9228-4fff-a538-d2699191aa2b,670,B,1.0296166853281756
1726081200,_bcdf5a28-bce3-46e6-91a2-8eb3781605eb,670,A,1.050227986952739
1726081200,_d054a67b-8e35-4b2a-bd32-6cbfbde656a6,670,C,1.0465208646500044
1726081200,_c0b0b188-ad4a-4be3-90c1-2fbb1f507a15,684,A,1.0434628962009858
1726081200,_ab19de32-3fad-4654-b546-6b785b2d65e3,634,C,1.0389490008355877
1726081200,_502fa582-ba5f-496f-882a-260d909a9b9f,670,B,1.0296166853281756
1726081200,_5f1dfa9f-e754-471d-9c74-c1a9441e95a3,646,B,1.0180923804896005
1726081200,_84f75532-a514-4355-bf0e-2f8d82c736ae,646,C,1.0578860458414212
1726081200,_77cf5e05-b332-4203-937a-53f58b4f4585,634,A,1.0332322820026936
1726081200,_7cdb4378-79d9-4b6b-96c1-f3b55cbbc40d,mid,A,1.0526905915965858
1726081200,_7d0172fb-0d05-4d30-bb80-4cb3619271f4,mid,C,1.0548760205872503
1726081200,_f6662bb7-67f0-452f-ab3a-e430723626e1,mid,B,1.0302253609166931
1726081200,_27897da2-d7e1-438c-a6e4-4b3cfe8e79fa,632,C,1.054885500197548
1726081200,_d92644c9-5bd2-4312-8e31-3bec6510e646,632,A,1.0526993595877894
1726081200,_dad6dd20-9bfc-4bd9-b76e-2e0fd3b0d5ba,632,B,1.0302312721261073
1726081200,_8b6bd68f-c84d-45e1-91b9-b0406fbaa3b1,633,C,1.0529680373432555
1726081200,_d56a4982-0c80-45d0-8cb8-c24097138b63,633,B,1.0285494127113974
1726081200,_d638fbbc-9b85-416e-87b8-37c9785e1611,633,A,1.0505305474756863
1726081200,_1f8096d5-8e7e-4292-bb96-98b5c2efefbc,671,C,1.0318369112467236
1726081200,_5544e071-22c3-4c7f-b15c-98aac3edfa6f,671,A,1.0447466463740478
1726081200,_7fcfa7bd-f93a-4f03-8111-43b8851cb078,671,B,1.0305298868926347
1726081200,_08175e8f-b762-4c9b-92c4-07f369f69bd4,671,C,1.0318369112467236
1726081200,_617f766c-5379-49e5-a036-9442f73698aa,671,A,1.0447466463740478
1726081200,_ffc4a375-69d5-4c91-aa0a-54e4735d30ba,671,B,1.0305298868926347
1726081200,_5105857b-b776-4824-99fa-a324fac89dec,670,C,1.0465208646500044
1726081200,_fad827c5-f344-498e-ab39-29883d4c6bb6,611,C,1.0303707702314036
1726081200,_881b2079-132d-42b6-a2e4-3d9a954199fc,680,C,1.0318369112467236
1726081200,_aaa5a1e5-ddd2-4324-b1d7-0b2d1b251f32,680,B,1.0305298868926347
1726081200,_c549a164-fcff-4b13-9c64-5173fb43994f,680,A,1.0447466463740478
